date,t,confirmed,deaths,recovered,Population,s_si,i_si,s_sir,i_sir,r_sir,recovered_reliable
2021-01-04,348,86024461,1938770,47649738.0,7744776836.0,0.9888925836313148,0.011107416368685152,0.9888925836313149,0.004704583975955895,0.006402832392729256,True
2021-01-05,349,86765351,1954189,47958967.0,7744776836.0,0.9887969204487999,0.011203079551200125,0.9887969204487999,0.004758328842827357,0.0064447507083727675,True
2021-01-06,350,87556264,1969110,48264648.0,7744776836.0,0.9886947983325984,0.011305201667401538,0.9886947983325985,0.004819055059987528,0.006486146607414009,True
2021-01-07,351,88426222,1984073,48581556.0,7744776836.0,0.9885824699829995,0.01141753001700048,0.9885824699829995,0.00488853246539175,0.006528997551608729,True
2021-01-08,352,89261637,1999363,48870883.0,7744776836.0,0.9884746018006503,0.011525398199349743,0.9884746018006503,0.004957068720372358,0.006568329478977385,True
2021-01-09,353,90017904,2012679,49194517.0,7744776836.0,0.9883769531509843,0.011623046849015753,0.9883769531509843,0.005011210629026316,0.006611836219989438,True
2021-01-10,354,90619443,2022236,49458612.0,7744776836.0,0.9882992828690977,0.011700717130902235,0.9882992828690979,0.005053547162014056,0.006647169968888178,True
2021-01-11,355,91233917,2032515,49738797.0,7744776836.0,0.9882199424293392,0.011780057570660774,0.9882199424293392,0.005095383099557654,0.006684674471103121,True
2021-01-12,356,91926453,2049477,50074684.0,7744776836.0,0.9881305226804342,0.011869477319565726,0.9881305226804343,0.0051392432400359485,0.006730234079529778,True
2021-01-13,357,92669726,2065943,50432436.0,7744776836.0,0.9880345518066778,0.011965448193322223,0.9880345518066779,0.005186895355495818,0.006778552837826404,True
2021-01-14,358,93428784,2081663,50796659.0,7744776836.0,0.9879365427851045,0.012063457214895533,0.9879365427851045,0.005235846410901026,0.006827610803994508,True
2021-01-15,359,94212637,2097380,51108712.0,7744776836.0,0.9878353322510118,0.01216466774898819,0.9878353322510118,0.005294735518961569,0.0068699322300266215,True
2021-01-16,360,94869509,2111413,51419397.0,7744776836.0,0.9877505174120681,0.01224948258793186,0.9877505174120682,0.005337623003912207,0.006911859584019652,True
2021-01-17,361,95397119,2121283,51727947.0,7744776836.0,0.9876823927893486,0.01231760721065146,0.9876823927893486,0.00536463346585704,0.00695297374479442,True
2021-01-18,362,95914366,2131731,52039010.0,7744776836.0,0.9876156062297158,0.01238439377028423,0.9876156062297158,0.005389906757024083,0.006994487013260145,True
2021-01-19,363,96507148,2147411,52434369.0,7744776836.0,0.9875390666453543,0.012460933354645726,0.9875390666453543,0.0054133732821220314,0.007047560072523696,True
